Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSave%
Kepa Arrizabalaga,ESP,GK,Real Madrid,29,1994,13,13,1170,13.0,0.69,0.69,2.85,2.23,75.7,0.77,0.15,0.08,0.54,53.8,0.0,0.0,0.0,0.0,
Francisco Barbosa,ESP,GK,Betis,25,1999,3,2,225,2.5,1.6,1.6,5.6,4.0,71.4,0.4,0.4,0.0,0.4,50.0,0.0,0.0,0.0,0.0,
Augusto Batalla,ARG,GK,Granada,28,1996,17,17,1530,17.0,1.65,1.65,5.06,3.41,67.4,0.18,0.24,0.59,0.18,17.6,0.0,0.0,0.0,0.0,
Yassine Bounou,MAR,GK,Sevilla,33,1991,1,1,90,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Claudio Bravo,CHI,GK,Betis,41,1983,7,7,630,7.0,0.71,0.71,2.86,2.29,75.0,0.43,0.57,0.0,0.29,28.6,0.0,0.0,0.0,0.0,
Thibaut Courtois,BEL,GK,Real Madrid,32,1992,2,2,180,2.0,0.0,0.0,1.5,1.5,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Cristian,ESP,GK,Valencia,26,1998,1,0,57,0.6,1.67,1.58,5.0,3.33,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Stole Dimitrievski,MKD,GK,Rayo Vallecano,30,1993,35,35,3150,35.0,1.23,1.23,4.09,2.89,70.6,0.2,0.4,0.4,0.37,37.1,0.06,0.03,0.03,0.0,50.0
Marko Dmitrović,SRB,GK,Sevilla,32,1992,13,13,1170,13.0,1.92,1.92,5.23,3.38,66.2,0.15,0.15,0.69,0.15,15.4,0.15,0.15,0.0,0.0,0.0
Jaume Doménech,ESP,GK,Valencia,33,1990,2,1,79,0.9,3.33,3.42,13.3,10.0,75.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,
Aarón Escandell,ESP,GK,Las Palmas,28,1995,2,1,153,1.7,1.76,1.76,2.35,0.59,25.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,
Aitor Fernández,ESP,GK,Osasuna,33,1991,5,4,371,4.1,1.71,1.7,3.17,1.46,53.8,0.0,0.0,0.98,0.24,25.0,0.24,0.24,0.0,0.0,0.0
Raúl Fernández,ESP,GK,Granada,36,1988,4,4,280,3.1,3.55,3.54,5.48,2.26,35.3,0.32,0.0,0.97,0.0,0.0,0.32,0.0,0.0,0.32,
Fernando,ESP,GK,Almería,33,1990,2,2,180,2.0,3.5,3.5,5.5,2.0,36.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
André Ferreira,POR,GK,Granada,27,1996,15,14,1340,14.9,1.95,1.95,5.17,3.29,66.2,0.0,0.34,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0
Paulo Gazzaniga,ARG,GK,Girona,32,1992,35,35,3150,35.0,1.26,1.26,4.49,3.2,74.5,0.66,0.17,0.17,0.31,31.4,0.17,0.11,0.03,0.03,20.0
David Gil,ESP,GK,Cádiz,30,1994,4,3,282,3.1,0.65,0.64,3.87,3.23,83.3,0.0,0.97,0.0,0.32,33.3,0.0,0.0,0.0,0.0,
Dominik Greif,SVK,GK,Mallorca,27,1997,1,1,90,1.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Vicente Guaita,ESP,GK,Celta Vigo,37,1987,26,25,2313,25.7,1.48,1.48,4.55,3.15,70.9,0.27,0.27,0.43,0.23,24.0,0.16,0.16,0.0,0.0,0.0
Sergio Herrera,ESP,GK,Osasuna,30,1993,31,31,2779,30.9,1.49,1.49,4.21,2.69,64.6,0.36,0.23,0.42,0.29,29.0,0.03,0.0,0.03,0.0,100.0
Filip Jørgensen,DEN,GK,Villarreal,22,2002,34,34,3060,34.0,1.74,1.74,5.74,4.03,72.8,0.35,0.26,0.38,0.15,14.7,0.18,0.18,0.0,0.0,0.0
Jeremías Ledesma,ARG,GK,Cádiz,31,1993,32,32,2868,31.9,1.47,1.47,4.61,3.13,69.4,0.16,0.34,0.5,0.22,21.9,0.06,0.06,0.0,0.0,0.0
Andriy Lunin,UKR,GK,Real Madrid,25,1999,20,20,1800,20.0,0.65,0.65,2.9,2.25,79.3,0.8,0.2,0.0,0.5,50.0,0.05,0.05,0.0,0.0,0.0
Giorgi Mamardashvili,GEO,GK,Valencia,23,2000,34,34,3014,33.5,1.04,1.05,3.91,2.81,74.8,0.39,0.27,0.36,0.39,38.2,0.15,0.06,0.09,0.0,60.0
Diego Mariño,ESP,GK,Almería,34,1990,1,1,90,1.0,2.0,2.0,4.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Unai Marrero,ESP,GK,Real Sociedad,22,2001,2,1,142,1.6,1.88,1.9,3.13,1.25,60.0,0.0,0.0,0.63,0.0,0.0,0.63,0.63,0.0,0.0,0.0
Luís Maximiano,POR,GK,Almería,25,1999,32,32,2880,32.0,1.91,1.91,5.25,3.31,66.1,0.06,0.34,0.59,0.19,18.8,0.22,0.13,0.03,0.06,20.0
Ørjan Nyland,NOR,GK,Sevilla,33,1990,21,21,1890,21.0,1.05,1.05,4.05,3.05,77.6,0.38,0.43,0.19,0.29,28.6,0.14,0.14,0.0,0.0,0.0
Jan Oblak,SVN,GK,Atlético Madrid,31,1993,35,35,3150,35.0,1.11,1.11,3.8,2.69,71.4,0.63,0.11,0.26,0.31,31.4,0.06,0.03,0.0,0.03,0.0
Jesús Owono,EQG,GK,Alavés,23,2001,1,1,90,1.0,2.0,2.0,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iñaki Peña,ESP,GK,Barcelona,25,1999,10,10,900,10.0,1.7,1.7,3.9,2.2,56.4,0.6,0.2,0.2,0.2,20.0,0.0,0.0,0.0,0.0,
Predrag Rajković,SRB,GK,Mallorca,28,1995,34,34,3060,34.0,1.18,1.18,3.85,2.68,72.5,0.21,0.38,0.41,0.26,26.5,0.15,0.12,0.03,0.0,20.0
Pepe Reina,ESP,GK,Villarreal,41,1982,1,1,90,1.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Álex Remiro,ESP,GK,Real Sociedad,29,1995,34,34,3005,33.4,1.02,1.02,3.41,2.43,74.6,0.42,0.36,0.24,0.39,38.2,0.15,0.15,0.0,0.0,0.0
Rui Silva,POR,GK,Betis,30,1994,26,26,2295,25.5,1.25,1.25,4.27,3.06,77.1,0.39,0.31,0.31,0.35,34.6,0.31,0.27,0.04,0.0,12.5
Unai Simón,ESP,GK,Athletic Club,26,1997,34,34,3060,34.0,0.97,0.97,3.47,2.53,72.9,0.5,0.32,0.18,0.47,47.1,0.15,0.03,0.09,0.03,75.0
Antonio Sivera,ESP,GK,Alavés,27,1996,34,34,3060,34.0,1.12,1.12,3.62,2.56,75.6,0.32,0.24,0.44,0.29,29.4,0.24,0.24,0.0,0.0,0.0
David Soria,ESP,GK,Getafe,31,1993,35,35,3150,35.0,1.37,1.37,4.69,3.29,73.8,0.29,0.37,0.34,0.29,28.6,0.2,0.14,0.03,0.03,16.7
Marc-André ter Stegen,GER,GK,Barcelona,32,1992,25,25,2250,25.0,1.04,1.04,3.56,2.52,73.0,0.68,0.2,0.12,0.52,52.0,0.08,0.08,0.0,0.0,0.0
Álvaro Vallés,ESP,GK,Las Palmas,26,1997,34,34,2993,33.3,1.23,1.23,4.23,3.0,74.5,0.3,0.21,0.51,0.21,20.6,0.24,0.15,0.06,0.03,28.6
Iván Villar,ESP,GK,Celta Vigo,26,1997,10,10,834,9.3,1.61,1.62,4.41,2.69,65.9,0.11,0.32,0.65,0.0,0.0,0.22,0.11,0.11,0.0,50.0
